Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2024-10-06,Sociedad,Ath Madrid,1,1,D,3.3,3.2,2.3
2024-10-06,Sevilla,Betis,1,0,H,2.45,3.2,3.0
2024-10-06,Girona,Ath Bilbao,2,1,H,2.35,3.3,3.1
2024-10-06,Alaves,Barcelona,0,3,A,5.25,4.5,1.57
2024-10-18,Alaves,Valladolid,2,3,A,1.62,3.9,5.75
2024-10-19,Ath Bilbao,Espanol,4,1,H,1.45,4.2,7.5
2024-10-19,Osasuna,Betis,1,2,A,2.5,3.4,2.7
2024-10-19,Girona,Sociedad,0,1,A,2.4,3.4,2.88
2024-10-19,Celta,Real Madrid,1,2,A,4.75,4.5,1.6
2024-10-20,Barcelona,Sevilla,5,1,H,1.3,5.75,8.0
2024-10-20,Villarreal,Getafe,1,1,D,1.67,3.8,5.0
2024-10-20,Mallorca,Vallecano,1,0,H,2.05,3.1,4.0
2024-10-20,Ath Madrid,Leganes,3,1,H,1.33,4.75,10.0
2024-10-21,Valencia,Las Palmas,2,3,A,1.62,3.8,5.5
2024-10-25,Espanol,Sevilla,0,2,A,3.0,3.25,2.4
2024-10-26,Valladolid,Villarreal,1,2,A,3.5,3.75,2.0
2024-10-26,Vallecano,Alaves,1,0,H,2.25,3.1,3.5
2024-10-26,Las Palmas,Girona,1,0,H,2.88,3.4,2.45
2024-10-26,Real Madrid,Barcelona,0,4,A,2.0,4.1,3.25
2024-10-27,Leganes,Celta,3,0,H,3.25,3.25,2.3
2024-10-27,Getafe,Valencia,1,1,D,2.1,3.1,3.8
2024-10-27,Betis,Ath Madrid,1,0,H,3.1,3.4,2.3
2024-10-27,Sociedad,Osasuna,0,2,A,1.75,3.6,5.0
2024-10-28,Mallorca,Ath Bilbao,0,0,D,2.9,3.1,2.55
2024-11-01,Alaves,Mallorca,1,0,H,2.25,3.0,3.4
2024-11-02,Girona,Leganes,4,3,H,1.7,3.5,5.5
2024-11-02,Osasuna,Valladolid,1,0,H,1.6,3.7,6.25
2024-11-03,Ath Bilbao,Betis,1,1,D,1.91,3.5,4.0
2024-11-03,Sevilla,Sociedad,0,2,A,2.9,3.0,2.63
2024-11-03,Barcelona,Espanol,3,1,H,1.13,9.0,19.0
2024-11-03,Ath Madrid,Las Palmas,2,0,H,1.27,6.0,9.5
2024-11-04,Celta,Getafe,1,0,H,1.95,3.2,4.5
2024-11-08,Vallecano,Las Palmas,1,3,A,1.83,3.4,4.5
2024-11-09,Real Madrid,Osasuna,4,0,H,1.2,7.0,13.0
2024-11-09,Villarreal,Alaves,3,0,H,1.62,4.0,5.5
2024-11-09,Leganes,Sevilla,1,0,H,2.88,3.2,2.55
2024-11-10,Sociedad,Barcelona,1,0,H,4.75,4.1,1.65
2024-11-10,Valladolid,Ath Bilbao,1,1,D,4.5,3.4,1.85
2024-11-10,Getafe,Girona,0,1,A,2.45,3.2,3.0
2024-11-10,Mallorca,Ath Madrid,0,1,A,3.6,3.1,2.2
2024-11-10,Betis,Celta,2,2,D,1.95,3.4,4.0
2024-11-22,Getafe,Valladolid,2,0,H,1.65,3.4,6.5
2024-11-23,Valencia,Betis,4,2,H,3.0,3.0,2.6
2024-11-23,Ath Madrid,Alaves,2,1,H,1.36,4.75,9.0
2024-11-23,Girona,Espanol,4,1,H,1.67,3.9,5.25
2024-11-23,Las Palmas,Mallorca,2,3,A,2.8,3.0,2.7
2024-11-23,Celta,Barcelona,2,2,D,4.75,4.33,1.65
2024-11-24,Ath Bilbao,Sociedad,1,0,H,2.25,3.0,3.6
2024-11-24,Leganes,Real Madrid,0,3,A,7.5,4.5,1.42
2024-11-24,Sevilla,Vallecano,1,0,H,2.3,3.2,3.3
2024-11-24,Osasuna,Villarreal,2,2,D,2.55,3.4,2.75
2024-11-29,Mallorca,Valencia,2,1,H,2.0,3.0,4.5
2024-11-30,Barcelona,Las Palmas,1,2,A,1.17,8.5,13.0
2024-11-30,Alaves,Leganes,1,1,D,1.8,3.4,5.0
2024-11-30,Espanol,Celta,3,1,H,3.3,3.4,2.2
2024-11-30,Valladolid,Ath Madrid,0,5,A,6.0,4.2,1.53
2024-12-01,Villarreal,Girona,2,2,D,1.83,3.7,4.2
2024-12-01,Real Madrid,Getafe,2,0,H,1.36,4.5,10.0
2024-12-01,Vallecano,Ath Bilbao,1,2,A,2.8,3.1,2.7
2024-12-01,Sociedad,Betis,2,0,H,1.8,3.6,4.5
2024-12-02,Sevilla,Osasuna,1,1,D,2.1,3.4,3.5
2024-12-03,Mallorca,Barcelona,1,5,A,5.75,4.33,1.53
2024-12-04,Ath Bilbao,Real Madrid,2,1,H,3.2,3.3,2.25
2024-12-06,Celta,Mallorca,2,0,H,1.85,3.4,4.5
2024-12-07,Betis,Barcelona,2,2,D,5.0,4.5,1.57
2024-12-07,Valencia,Vallecano,0,1,A,2.25,2.9,3.75
2024-12-07,Las Palmas,Valladolid,2,1,H,1.8,3.6,4.5
2024-12-07,Girona,Real Madrid,0,3,A,4.5,3.9,1.73
2024-12-08,Ath Madrid,Sevilla,4,3,H,1.38,4.75,8.5
2024-12-08,Osasuna,Alaves,2,2,D,2.05,3.3,3.75
2024-12-08,Leganes,Sociedad,0,3,A,4.75,3.1,1.91
2024-12-08,Ath Bilbao,Villarreal,2,0,H,1.95,3.6,3.8
2024-12-09,Getafe,Espanol,1,0,H,1.8,3.1,5.75
2024-12-13,Valladolid,Valencia,1,0,H,3.1,3.1,2.38
2024-12-14,Espanol,Osasuna,0,0,D,2.75,3.2,2.6
2024-12-14,Mallorca,Girona,2,1,H,2.3,3.1,3.25
2024-12-14,Sevilla,Celta,1,0,H,2.2,3.25,3.3
2024-12-14,Vallecano,Real Madrid,3,3,D,6.0,3.8,1.57
2024-12-15,Ath Madrid,Getafe,1,0,H,1.4,4.33,9.0
2024-12-15,Alaves,Ath Bilbao,1,1,D,3.6,3.1,2.15
2024-12-15,Sociedad,Las Palmas,0,0,D,1.4,4.33,8.0
2024-12-15,Villarreal,Betis,1,2,A,1.75,3.8,4.33
2024-12-15,Barcelona,Leganes,0,1,A,1.13,8.0,19.0
2024-12-18,Espanol,Valencia,1,1,D,2.6,3.0,3.0
2024-12-18,Villarreal,Vallecano,1,1,D,1.8,3.6,4.5
2024-12-20,Girona,Valladolid,3,0,H,1.38,5.0,8.0
2024-12-21,Barcelona,Ath Madrid,1,2,A,1.9,3.8,3.9
2024-12-21,Osasuna,Ath Bilbao,1,2,A,3.9,3.1,2.1
2024-12-21,Getafe,Mallorca,0,1,A,2.3,2.75,3.9
2024-12-21,Celta,Sociedad,2,0,H,2.9,3.1,2.6
2024-12-22,Valencia,Alaves,2,2,D,2.25,3.1,3.5
