Fecha_Prediccion,Fecha_Partido,HomeTeam,AwayTeam,Cuota,Probabilidad,EV,Kelly_Stake,Recomendacion,Resultado_Real,Ganancia_Perdida,Proj_Goles_L,Proj_Goles_V,Marcador_Exacto
2026-03-06,2026-03-07,Union Berlin,Werder Bremen,2.25,0.5025941687181164,1.1308368796157615,0.0104669503692609,H,,0.0,2.52,1.0,2-0
2026-03-06,2026-03-07,Schalke 04,Bielefeld,1.85,0.5017975096949325,0.9283253929356252,0.0,No Bet,,0.0,1.64,1.6,1-1
2026-03-06,2026-03-07,Nantes,Angers,2.2,0.4802196296636565,1.0564831852600445,0.0047069321050037,No Bet,,0.0,1.05,1.16,1-1
2026-03-06,2026-03-07,Auxerre,Strasbourg,3.6,0.2130320926163249,0.7669155334187698,0.0,No Bet,,0.0,1.66,1.96,1-1
2026-03-06,2026-03-07,Brest,Le Havre,1.91,0.5828190393161381,1.1131843650938238,0.0124378423180026,H,,0.0,1.35,1.49,1-1
2026-03-06,2026-03-07,Troyes,Clermont,1.62,0.4300221311206482,0.6966358524154502,0.0,No Bet,,0.0,3.04,1.04,3-1
2026-03-06,2026-03-07,Napoli,Torino,1.57,0.6055812885971525,0.9507626230975296,0.0,No Bet,,0.0,2.64,1.87,2-1
2026-03-06,2026-03-07,Atalanta,Udinese,1.67,0.5784048112892887,0.965936034853112,0.0,No Bet,,0.0,2.29,1.5,2-1
2026-03-06,2026-03-07,Lecce,Cremonese,2.1,0.5404391094630875,1.134922129872484,0.0122656481702257,H,,0.0,1.78,1.62,1-1
2026-03-06,2026-03-07,Bologna,Verona,1.55,0.366528359161614,0.5681189567005017,0.0,No Bet,,0.0,2.91,1.11,2-1
2026-03-06,2026-03-07,Fiorentina,Parma,1.7,0.6330287314061023,1.076148843390374,0.0108784061986248,No Bet,,0.0,3.18,0.9,3-0
2026-03-06,2026-03-07,Lazio,Sassuolo,2.15,0.5164341378254128,1.1103333963246376,0.0095942083760554,H,,0.0,2.47,2.17,2-2
2026-03-06,2026-03-07,Spezia,Monza,3.75,0.4738395520977176,1.7768983203664412,0.0282508480133251,H,,0.0,0.89,1.06,0-1
2026-03-06,2026-03-07,Frosinone,Sampdoria,1.79,0.3467572277832826,0.620695437732076,0.0,No Bet,,0.0,1.78,1.3,1-1
2026-03-06,2026-03-07,Levante,Girona,2.8,0.4561880978743861,1.277326674048281,0.0154070374471267,H,,0.0,2.29,1.42,2-1
2026-03-06,2026-03-07,Villarreal,Elche,1.5,0.5568804878729605,0.8353207318094408,0.0,No Bet,,0.0,2.61,1.63,2-1
2026-03-06,2026-03-07,Leganes,Eibar,2.32,0.2667561826640703,0.6188743437806431,0.0,No Bet,,0.0,1.94,2.44,1-2
